"artist";"title"
"Bat For Lashes";"Sunday Love"
"Morrissey";"The More You Ignore Me, The Closer I Get"
"The Strokes";"Under Cover Of Darkness"
"Foals";"Exits"
"R.e.m.";"Pop Song 89"
"Kings Of Leon";"Radioactive"
"Air";"Playground Love"
"The Smiths";"Bigmouth Strikes Again"
"Noel Gallagher's High Flying...";"In The Heat Of The Moment"
"Talking Heads";"Life During Wartime"
"Phoenix";"If I Ever Feel Better"
"The Kinks";"Till The End Of The Day"
"Morcheeba";"Rome Wasn't Built In A Day"
"The Cure";"A Forest"
"Cold War Kids";"Hospital Beds"
"Donovan";"Barabajagal"
"Depeche Mode";"Policy Of Truth"
"Norma";"Girl In The City"
"Belle And Sebastian";"The Boy With The Arab Trap"
"Arctic Monkeys";"I Bet You Look Good On The Dancefloor"
