"artist";"title";"day";"hour"
"Rag'n'bone Man";"Human";"2020-04-05";"22:42"
"Natalie Imbruglia";"Torn";"2020-04-05";"22:39"
"Lene Marlin";"Where I'm Headed";"2020-04-05";"22:27"
"Daniel Levi";"L'envie D'aimer";"2020-04-05";"22:24"
"Billy Paul";"Your Song";"2020-04-05";"22:16"
"No Doubt";"Don't Speak";"2020-04-05";"22:08"
"Lady Gaga";"I'll Never Love Again";"2020-04-05";"22:05"
"Queen";"A Kind Of Magic";"2020-04-05";"22:00"
"James Arthur";"Say You Won't Let Go";"2020-04-05";"21:50"
"Celine Dion";"Ziggy";"2020-04-05";"21:46"
"The Weeknd";"Earned It";"2020-04-05";"21:35"
"Pascal Obispo";"Lucie";"2020-04-05";"21:24"
"Justin Bieber";"Love Yourself";"2020-04-05";"21:20"
"The Rolling Stones";"Angie";"2020-04-05";"21:16"
"Antoine Elie";"La Rose Et L'armure";"2020-04-05";"21:12"
"Mariah Carey";"Hero";"2020-04-05";"21:08"
"Robbie Williams";"Feel";"2020-04-05";"21:04"
"Francis Cabrel";"Il Faudra Leur Dire";"2020-04-05";"21:01"
"Raphael";"Caravane";"2020-04-05";"20:53"
"Tina Turner";"Private Dancer";"2020-04-05";"20:49"
"Lionel Richie";"Say You Say Me";"2020-04-05";"20:42"
"Adele";"Set Fire To The Rain";"2020-04-05";"20:38"
"John Lennon";"Imagine";"2020-04-05";"20:32"
"Louane";"Maman";"2020-04-05";"20:21"
"Chicago";"If You Leave Me Now";"2020-04-05";"20:17"
"Lauren Daigle";"Rescue";"2020-04-05";"20:14"
"Genesis";"Hold On My Heart";"2020-04-05";"20:09"
"Florent Pagny";"La Ou Je T'emmenerai";"2020-04-05";"20:05"
"Seal";"Kiss From A Rose";"2020-04-05";"19:51"
"Christina Aguilera";"Hurt";"2020-04-05";"19:47"
"Etienne Daho";"Des Heures Hindoues";"2020-04-05";"19:43"
"Ed Sheeran";"Thinking Out Loud";"2020-04-05";"19:40"
"Patrick Fiori";"4 Mots Sur Un Piano";"2020-04-05";"19:36"
"Celine Dion";"The Power Of Love";"2020-04-05";"19:31"
"Ub40";"Red Red Wine";"2020-04-05";"19:24"
"Gerald De Palmas";"Marie";"2020-04-05";"19:21"
"Marc Lavoine";"Les Yeux Revolver";"2020-04-05";"19:14"
"Sam Smith";"Stay With Me";"2020-04-05";"19:11"
"Mariah Carey";"Do You Know Where You're Going To";"2020-04-05";"19:07"
"The Korgis";"Everybody's Got To Learn Sometime";"2020-04-05";"19:00"
"Scorpions";"Still Loving You";"2020-04-05";"18:50"
"Natasha St Pier & Pascal";"Tu Trouveras";"2020-04-05";"18:46"
"Robbie Williams";"Angels";"2020-04-05";"18:42"
"John Legend";"All Of Me";"2020-04-05";"18:39"
