"artist";"title"
"Patrick Bruel";"Place Des Grands Hommes"
"Lewis Capaldi";"Someone You Loved"
"Larusso";"Tu M'oublieras"
"Maroon 5";"Memories"
"Toto";"Africa"
"Jean Jacques Goldman";"Envole Moi"
"Shaed Feat Zayn";"Trampoline"
"Shania Twain";"You're Still The One"
"Les Enfoires";"A Cote De Toi"
"Sam Brown";"Stop"
"Spice Girls";"Wannabe"
"Alphaville";"Forever Young"
"Angele";"Balance Ton Quoi"
"Eagle Eye Cherry";"Save Tonight"
"Nea";"Some Say"
"Bill Medley";"The Time Of My Life"
"Vitaa & Slimane";"Je Te Le Donne"
"Lionel Richie";"Say You Say Me"
"The Weeknd";"Blinding Lights"
"Daniel Balavoine";"Aimer Est Plus Fort Que D'etre Aime"
"Phil Collins";"You Can't Hurry Love"
"Celine Dion";"S'il Suffisait D'aimer"
"Daft Punk";"Get Lucky"
"Matt Pokora";"Si T'es Pas La"
"Nik Kershaw";"The Riddle"
"Calogero";"Voler De Nuit"
"Tina Turner";"What's Love Got To Do With It"
"Lady Gaga Et Bradley Coop";"Shallow"
"Enrique Iglesias";"Tired Of Being Sorry"
"Arthur Simms";"It's Only Mystery"
"Des'ree";"Life"
"Jean Jacques Goldman";"La Vie Par Procuration"
"Tones And I";"Dance Monkey"
"Donna Lewis";"I Love You Always Forever"
"Vitaa & Slimane";"Avant Toi"
"Richard Marx";"Right Here Waiting"
"Angele";"Oui Ou Non"
"Michael Jackson";"Billie Jean"
"Kendji Girac";"Tu Vas Manquer"
"Queen";"I Want To Break Free"
"Lenny Kravitz";"It Ain't Over 'Til It's Over"
"Laurent Voulzy";"Belle Ile En Mer"
"Pascal Obispo";"Fan"
"4 Non Blondes";"What's Up"
"Niagara";"Je Dois M'en Aller"
"Adele";"Someone Like You"
"Wham";"Last Christmas"
"Matt Pokora";"Les Planetes"
"Shola Ama";"You Might Need Somebody"
"Prince";"Purple Rain"
"Shaed & Zayn";"Trampoline"
"Fugees";"Killing Me Softly"
"Roy Orbison";"Oh, Pretty Woman"
"Gerald De Palmas";"Sur La Route"
"James Arthur";"Impossible"
"Elton John";"Don't Go Breaking My Heart"
"Les Frangines";"Donnez-Moi"
"Eagles";"Hotel California"
"Madonna";"Music"
"Daniel Balavoine";"Mon Fils Ma Bataille"
"Michael Bolton";"When A Man Loves A Woman"
"Mister Big";"Wild World"
"Carly Rae Jepsen";"Call Me Maybe"
"Status Quo";"In The Army Now"
"Sia";"Unstoppable"
"Ace Of Base";"All That She Wants"
"Jermaine Jackson";"When The Rain Begins To Fall"
"Kylie Minogue";"Can't Get You Out Of My Head"
"Gregory Lemarchal";"De Temps En Temps"
"Mike Oldfield";"Moonlight Shadow"
"Antoine Elie";"La Rose Et L'armure"
"Fool's Garden";"Lemon Tree"
"Eros Ramazzotti";"Una Storia Importante"
"Lykke Li";"I Follow Rivers"
"Bonnie Tyler";"It's A Heartache"
"Clara Luciani";"La Grenade"
"Craig David";"Walking Away"
"Elsa Esnoult";"Et Dans La Nuit J'ai Prie"
"Brandy & Monica";"The Boy Is Mine"
"Jimmy Cliff";"I Can See Clearly Now"
"Renan Luce";"La Lettre"
"Bananarama";"Cruel Summer"
"R.e.m";"Losing My Religion"
"Irene Cara";"Fame"
"Yseult";"Corps"
"Rihanna";"Unfaithfull"
"Les Frangines";"Ensemble"
"Righteous Brothers";"Unchained Melody"
"Eurythmics";"Sweet Dreams (Are Made Of This)"
"Vanessa Carlton";"A Thousand Miles"
"Charles & Eddie";"Would I Lie To You"
"Adele";"Skyfall"
"Rag'n'bone Man";"Human"
"Natalie Imbruglia";"Torn"
"Lene Marlin";"Where I'm Headed"
"Daniel Levi";"L'envie D'aimer"
"Billy Paul";"Your Song"
"No Doubt";"Don't Speak"
"Lady Gaga";"I'll Never Love Again"
"Queen";"A Kind Of Magic"
"James Arthur";"Say You Won't Let Go"
"Celine Dion";"Ziggy"
"The Weeknd";"Earned It"
"Pascal Obispo";"Lucie"
"Justin Bieber";"Love Yourself"
"The Rolling Stones";"Angie"
"Mariah Carey";"Hero"
"Robbie Williams";"Feel"
"Francis Cabrel";"Il Faudra Leur Dire"
"Raphael";"Caravane"
"Tina Turner";"Private Dancer"
"Adele";"Set Fire To The Rain"
"John Lennon";"Imagine"
"Louane";"Maman"
"Chicago";"If You Leave Me Now"
"Lauren Daigle";"Rescue"
"Genesis";"Hold On My Heart"
"Florent Pagny";"La Ou Je T'emmenerai"
"Seal";"Kiss From A Rose"
"Christina Aguilera";"Hurt"
"Etienne Daho";"Des Heures Hindoues"
"Ed Sheeran";"Thinking Out Loud"
"Patrick Fiori";"4 Mots Sur Un Piano"
"Celine Dion";"The Power Of Love"
"Ub40";"Red Red Wine"
"Gerald De Palmas";"Marie"
