"artist";"title"
"Josef Salvat";"Diamonds"
"Sting";"Englishman In New York"
"Mecano";"Une Femme Avec Une Femme"
"Fredericks Goldman Jones";"Ne En 17 A Leidenstadt"
"Ensemble Contre Le Sida";"Sa Raison D'etre"
"Lionel Richie";"All Night Long (All Night)"
"Lewis Capaldi";"Before You Go"
"Gnarls Barkley";"Crazy"
"Madonna";"La Isla Bonita"
"Katy Perry";"Hot N Cold"
"Patrick Bruel";"Heros"
"Pink";"Just Give Me A Reason"
"Amy Winehouse";"Rehab"
"Michael Jackson";"Who Is It"
"James Blunt";"Monsters"
"Laura Pausini";"La Solitudine"
"Beyonce";"Crazy In Love"
"Calogero";"Fondamental"
"Mika";"Relax (Take It Easy)"
"Johnny Hallyday";"Je Te Promets"
"Tina Turner";"The Best"
"Jenifer";"Donne Moi Le Temps"
"Bruno Mars";"Locked Out Of Heaven"
"Katy Perry";"Firework"
"Shawn Mendes & Camila Ca";"Senorita"
"Billy Joel";"Just The Way You Are"
"Simply Red";"For Your Babies"
"Peter Gabriel";"Don't Give Up"
"Mariah Carey";"I Still Believe"
"Jimmy Cliff";"Many Rivers To Cross"
