"artist";"title"
"Jermaine Jackson";"Do What You Do"
"Elton John";"Your Song"
"Clare Maguire";"Elizabeth Taylor"
"Toni Braxton";"Unbreak My Heart"
"Julien Dore";"Sublime & Silence"
"Birdy";"People Help The People"
"France Gall";"La Chanson D'azima"
"Indochine";"J'ai Demande A La Lune"
"Teri Moise";"Les Poemes De Michelle"
"Patti Austin & James Ingr";"Baby Come To Me"
"Christine And The Queens";"Saint Claude"
"Bonnie Tyler";"Total Eclipse Of The Heart"
"Eros Ramazzotti";"Se Bastasse Una Canzone"
"Lionel Richie";"Ballerina Girl"
"Phil Collins";"In The Air Tonight"
"Beyonce";"If I Were A Boy"
"Daniel Balavoine";"Dieu Que C'est Beau"
"Pink";"What About Us"
"Bill Withers";"Lovely Day"
"Lady Gaga";"Paparazzi"
"Pagny Obispo Lavoine";"Pour Les Gens Du Secours"
"Whitney Houston";"Saving All My Love For You"
"Katy Perry";"Roar"
"Santana";"Maria Maria"
"Daniel Balavoine";"L'aziza"
"Luis Fonsi";"Despacito"
"Rihanna";"Stay"
"Shania Twain";"That Don't Impress Me Much"
"Michael Jackson";"Heal The World"
"Christophe Willem";"Double Je"
"Justin Timberlake";"Can't Stop The Feeling"
"George Michael";"Careless Whisper"
"Lara Fabian";"Tout"
"Jamelia";"Superstar"
"Francis Cabrel";"Je T'aimais Je T'aime Je T'aimerai"
"Madonna";"Secret"
"Michel Berger";"Le Paradis Blanc"
"George Michael";"As"
"Whitney Houston";"One Moment In Time"
"Madonna";"Like A Prayer"
"Cecilia Krull";"My Life Is Going On"
"Celine Dion Et Jj Goldman";"Les Derniers Seront Les Premiers"
"Madonna";"Like A Virgin"
"Redbone";"Come And Get Your Love"
"Calvin Harris Feat Sam Sm";"Promises"
"Alain Souchon";"Foule Sentimentale"
"Robbie Williams";"Supreme"
"Mc Solaar";"Caroline"
"Queen";"We Will Rock You"
"Cyndi Lauper";"The World Is Stone"
"Andrea Bocelli";"Vivo Per Lei"
"Coldplay";"Viva La Vida"
"Madonna";"Into The Groove"
"Vanessa Paradis";"Divine Idylle"
"Stromae";"Formidable"
"Rihanna";"Diamonds"
"Angele Feat Romeo Elvis";"Tout Oublier"
"Whitney Houston";"When You Believe"
"George Michael";"Praying For Time"
"Destiny's Child";"Say My Name"
"Lost Frequencies";"Are You With Me (Feat. Easton)"
"James Blunt";"Goodbye My Lover"
"Robbie Williams";"She's The One"
"Christopher Cross";"Sailing"
"Celine Dion";"Je Sais Pas"
"George Michael";"Kissing A Fool"
"Tibz";"Tout Au Bout Du Monde"
"The Corrs";"Runaway"
"The Cars";"Drive"
"Mylene Farmer & Seal";"Les Mots"
"John Lennon";"Woman"
"London Grammar";"Wasting My Young Years"
"Double";"The Captain Of The Heart"
"Matt Bianco";"More Than I Can Bear"
"Sting";"Shape Of My Heart"
"Phil Collins";"Another Day In Paradise"
"Lana Del Rey";"Video Games"
"Marc Lavoine";"Chere Amie (Toutes Mes Excuses)"
"Foreigner";"I Want To Know What Love Is"
"Francis Cabrel";"L'encre De Tes Yeux"
"Black Eyed Peas";"I Gotta Feeling"
"Jake And Fanny";"Hold On To Me"
"Roch Voisine";"Helene"
"Axel Bauer & Zazie";"A Ma Place"
"Birdy";"Skinny Love"
"Ed Sheeran";"Shape Of You"
"Gavin James Feat. Philipp";"Always"
"Fredericks Goldman Jones";"Il Suffira D'un Signe"
"Celine Dion";"On Ne Change Pas"
"Rihanna";"Umbrella"
"Whitney Houston";"I Wanna Dance With Somebody"
"Indila";"Derniere Danse"
"Vianney & Maitre Gims";"La Meme"
"Elton John";"Sacrifice"
"Lp";"Lost On You"
"Angele";"Ta Reine"
"Gotye";"Somebody That I Used To Know"
"Katy Perry";"I Kissed A Girl"
