"artist";"title"
"Session Victim";"Stick Together"
"Fatboy Slim";"In Heaven"
"Jesper Ryom";"One Mind"
"Rone";"Belleville (Clara Moto & Tyler Pope Remix)"
"Basement Jaxx";"Petrilude"
"Micatone";"D-D-D Dance"
"Paul Kalkbrenner";"Platscher"
"Jon Malkin";"Sub Man"
"Trash Lagoon";"Sunbug"
"Kevin Yost & Peter Funk";"Dreams Of You (Sebastian Davidson Remix)"
"The Avalanches";"A Different Feeling"
"Souls Of Mischief";"93' Til Infinity (Hannes Fischer Remix)"
"C.r.o";"E.a.s.y (Marlon Hoffstadt Remix)"
"Kapadnoms";"Ice Wear"
"Nu";"Little Birds (Remix Of Kings Of Convenience)"
"Alice Russell";"Take Your Time Change Your Mind"
"Delicieuse Musique";"Open The Door"
"Waldeck";"Slowly (Mushroom Dive's Frantic Ballroom Blitz)"
"Marbert Rocel";"Cornflake Boy"
"Sly & The Family Stone";"L.o.v.i.n.u."
"Dj Cam Quartet";"Rebirth Of Cool"
"Petr Serkin";"Woodmaster"
"Mad Lion";"Can't Take Mine"
"Nightmares On Wax";"Moretime"
"Afroman";"Cray Rap"
"Mando Diao";"High Heels"
"Chinese Man";"Saudade"
"Edwyn Starr";"Easin'in"
"J. Viewz";"Smooth Criminal (Feat. Noa Lembersky)"
"Mo' Horizons";"Photo Viva"
"The Lost Fingers";"Fresh (Kool & The Gang)"
"Dj Krush";"On The Dub-Ble"
"Madjo";"Je Claque Des Doigts"
"Jk Soul";"Battle Of Life (Gramatik Remix)"
"Joe Jackson";"It Don't Mean A Thing (If It Ain't Got That Swing)"
"David Byrne, Fatboy Slim, Nicole Atkins";"Solano Avenue (Feat. Nicole Atkins)"
"Asa";"Peace"
"Soul Square";"That Swing"
"Squirrel Nut Zippers";"Stop Drop And Roll"
"Fat Freddy's Drop";"Flashback"
"Mr. Day";"Tears Of Joy"
"V. V. Brown";"Crying Blood"
"Le Cercle Feat. Pupa Jim";"Mister Speculator"
"Uncommonmenfrommars";"Dinosaur"
"Sly & The Family Stone";"Love City"
"Tech N9ne";"Fragile (Ft. Kendrick Lamar, ¡Mayday! & Kendall Morgan)"
"The Clash";"The Guns Of Brixton"
"Damian Marley & Skrillex";"Damian Marley & Skrillex"
"Aesop Rock & Del The Funky Homosapien";"Preservation"
"Waldeck";"Midsummer Night Blues"
"Natty";"Bedroom Eyes"
"Macy Gray";"Speechless"
"Chinese Man";"Scatter (There They Go)"
"The Souljazz Orchestra";"Mista President"
"The Limp Twins";"The Limping Song"
"Zap Mama";"Mr. Brown"
"Madjo";"Another Day"
"C2c";"Genius (Feat. Gush)"
"Led Zeppelin";"Living Loving Maid (She's Just A Woman)"
"Stevie Wonder";"Higher Ground"
"Paris Combo";"Berry"
"Zoufris Maracas";"Pacifique"
"Winston Mcanuff & The Bazbaz Orchestra";"Sentenced"
"John Barry";"Beat Girl"
"Vast Aire, Timbo King, Prodigal Sunn, & Byata";"Slow Blues"
"Zz Top";"Sharp Dressed Man"
"Krs-One";"The French Connection"
"The Souljazz Orchestra";"Soleil Couchant"
"M-O-P";"Ante Up"
"Quincy Jones";"Hikky"
"Shreya Ghosal";"Silsila Ye Chaahat Ka"
"M";"Au Suivant"
"Fugees";"The Mask"
"Beat Assailant";"Break Up Song"
"Tom Poisson";"Nos Amours Englouties"
"Pillowtalk";"Sunny"
"Alice Russel";"Got The Hunger (Ticklah Remix)"
"The Commodores";"Fancy Dancer"
"Chinese Man";"Once Upon A Time (Feat Tumi And Zubz)"
"Gil Scott-Heron";"Shut Um Down"
"Brenda Boykin";"Hard Swing Travellin' Man (Club Des Belugas Remix)"
"Bruno Mars";"Treasure"
"Asa";"Jailer"
"Deluxe";"To Doop"
"The Cure";"Close To Me"
"Dead Beats";"Got It Going On (Aim Remix)"
"The Stranglers";"Golden Brown"
"Lars & The Hands Of Light";"Me Me Me"
"Eve Ft. Gwen Stefani";"Let Me Blow Ya Mind"
"Natural Self Feat Elodie Rama";"Midnight Sun"
"Mark Brenner";"Pourquoi Pas"
"Zoufris Maracas";"Les Femmes Simulent"
"Gang Starr";"Full Clip"
