"artist";"title"
"Alela Diane";"Foreign Tongue"
"Chinese Man";"Racing With The Sun"
"Electric Guest";"American Daydream"
"Lakrass & Mrk";"Balade D'iurne"
"Zero 7";"Destiny"
"Cyne";"Soapbox"
"Wax Tailor";"Positively Inclined (Feat. Marina Quaisse & A.s.m)"
"Alarm Will Sound";"Fingerbib"
"Benny Berigan";"Snake Charmer"
"Alice Russell";"Twin Peaks"
"Asa";"The Way I Feel"
"Kenneth Bager";"Fragment Five (Moonlight Talki"
"Selah Sue";"Fyah Fyah"
"Emily Loizeau";"Je Ne Sais Pas Choisir"
"Natural Self";"The Crush"
"Taxi";"A Certain Something"
"Lo Tide";"Yello Brick"
"Lhasa";"Para El Fin Del Mundo El Ano Nuevo"
"Quincy Jones";"Ai No Corrida"
"Melanie Martinez";"Dollhouse"
"Ben L'oncle Soul";"Mon Amour"
"Fugees";"How Many Mics"
"Wild Cherry";"Play That Funky Music"
"Duererstuben";"Sonnenblut Am Platz Der Perlen (Original Mix)"
"Joris Delacroix";"This Is Not Tango"
"Parov Stelar";"Catgroove"
"Loin Brothers";"Garden Of Vargulf (Tornado Wallace Remix)"
"Atjazz & Jullian Gomes";"Overshadowed (Atjazz Galaxy Aart Dub)"
"Elliphant";"Music Is Life"
"Inland Knights";"Slummin It"
"Kza";"Le Troublant Acid"
"United Future Organisation";"Transworld (Quantic Mix)"
"Griz";"Smash The Funk"
"Monkey Safari";"Fat Papa (Original Mix)"
"Cassius";"Till We Got You And Me"
"Orelsan";"Basique"
"Chinese Man";"In My Room (Remix By Dj Suv)"
"Paso";"How Many Of Us"
"Limp Bizkit";"Mission Impossible 2"
"M.o.p.";"Ante Up"
"Dave Echo";"Sunfish"
"Delicieuse Musique";"Superluminal"
"Red Mystery";"Jetlands (Ron Flatter & Nick D-Lite Edit)"
"Roy Paci & Aretuska";"Fela Kuti Aye"
"Da";"Minus Et Cortex"
"Sia";"Drink To Get Drunk"
"Jesper Ryom";"Apolune"
"If";"Delicieuse Musique"
"Hird";"Keep You Hird (Plej Remix)"
"Weeknd";"I Can't Feel My Face"
"Cherokee";"Take Care Of You"
"Dj Zky And Fritz Kalkbrenner";"What I Can Say"
"David Byrne, Fatboy Slim";"American Troglodyte"
"Adani & Wolf";"Song For Life"
"Dj Vitamin D";"No Love For Hard Times (Gramatik Remix)"
"Malia";"I Feel It Like You"
"Zuco 103";"Treasure"
"Crazy P";"Heartbreaker"
"Boozoo Bajou";"Divers"
"Chemical Brothers, The";"Galvanize"
"Jon Malkin";"Bag Into Bag"
"Flevans";"Hey Mr Bundle"
"Elekfantz";"Diggin' On You (Original Mix)"
"Stavroz";"The Ginning"
"Discorockets";"Warmer"
"Plej";"You"
"Meitz";"Can You Live"
"Oxmo Puccino";"Le Tango Des Belles Dammes"
"J. Sase";"All I Want"
"Sebo & Madmotormiquel";"Take One Step Back"
"Gramatik";"In My Hood"
"Chinese Man";"Pills For Your Ills (Afghan Beat)"
"Deephope";"Deep Sun"
"Secret Chiefs 3";"Welcome To The Theatron Animatronique"
"Caravan Palace";"Queens"
"Wax Tailor";"The Games You Play (Feat. Voice)"
"Fugees";"Cowboys"
"Massilia Sound System";"Tout Le Monde Ment"
"Lakrass & Mrk";"Ganstyle"
"Uptown Funk Empire Feat Jrm";"I Guess That You Don't Mind"
"Fred Wesley";"House Party"
"Rjd2";"Cannibal Ox-The F Word (Rjd2 Remix)"
"Ukulele Girls";"Gangsta's Paradise"
"Hangar";"Ecoute (Voice Over Intro)"
"Pley";"Blue"
"Waldeck";"Make My Day"
"Lauryn Hill";"Forgive Them Father"
"Marley Marl Feat. Roy Ayers & Edwin Birdsong";"Hummin'"
"The Lost Fingers";"Belleville Rendez"
"Camelia Jordana";"Comment Lui Dire"
"Macy Gray";"My Nutmeg Fantasy (Feat. Angie Stone & Mos Def)"
"Lcd Sound System";"Time To Get Away"
"St Germain";"La Goutte D'or"
"Wax Tailor";"Once Upon A Past"
"Chinese Man";"Get Up (Feat. Ex-I, Lush One, Plex Rock)"
"Ben Howard";"The Wolves"
"Jain";"You Can Blame Me"
"Medi";"How Would You Do It"
"The Silver Seas";"Catch Yer Own Train"
"Karen Souza";"Creep"
"Diego Pelaez";"Drive My Car"
"Kapadnoms";"Tati Tele"
"Djelimady Tounkara";"Fanta Bourama"
"Gil Scott-Heron";"Blue Collar"
"Don Cavalli";"Here Sat I"
"Proof Aged In Soul";"Nothing Sweeter Than Love"
"Eric Clapton";"Layla"
"Nancy Sinatra";"These Boots Are Made For Walking"
"Lilly Wood & The Prick";"Hey It's Ok"
"Ms. Dynamite";"Put Him Out"
"R.wan";"A Pic"
"Squirrel Nut Zippers";"Bedbugs"
"Gramatik";"Tearin It Up"
"Amy Winehouse";"Fuck Me Pumps"
"Senor Coconut";"Da Da Da"
"Krazy Balhead";"2nd Movement"
"Sublime";"Date Rape"
"Boozoo Bajou";"Back Up"
"Quantic & Nickodemus";"Mi Swing Es Tropical"
"Yodelice";"Sunday With A Flu ( Live Au Wharf 2013)"
"Calle 13";"Muerte En Hawaii"
"Absynthe Minded";"Only Skin Deep"
"The Do";"Queen Dot Kong"
"Roy Nathanson";"Sotto Voce Simon"
"Graham Nash";"Chicago"
"Prodigy";"Diesel Power"
"R.wan";"Quand On Est Riche"
"Django Django";"Skies Over Cairo"
"Vera Hamilton";"But I Ain't No More (G.s.t.s.k.d.t.s)"
"Bumcello";"Beautiful You (Producer"
"Nirvana";"Lovebuzz"
"Big Bad Voodoo Daddy";"How Big Can You Get"
"Nneka";"Focus"
"Jim Murple Memorial";"Morning Boogaloo"
"General Elektriks";"You Don't Listen"
"Zero 7";"Give It Away"
"Vanessa Paradis";"Tandem"
"Isaac Delusion";"Midnight Sun"
"Lauryn Hill";"Can't Take My Eyes Off Of You"
"The Lost Fingers";"1990"
"The Doors";"Queen Of The Highway"
"Bob James";"Feel Like Making Love"
"Sam Smith";"Good Thing"
"Dido";"Honestly Ok"
"Arthur H";"Dis Moi Tout"
"Feqadu Amde-Mesqel";"Asmarina"
"Guts";"Man Funk"
"Senor Coconut";"Smooth Operator"
"Deluxe";"Too Me"
"Babylon Circus";"Cheer Up"
"Roger Miller";"King Of The Road"
"Asa";"Fire On The Mountain"
"Art District";"Cell"
"Jean Racine";"Faisons L'amour"
"Emiliana Torrini";"Me And Armini"
"Balkan Beat Box";"Adir Adirim"
"Bob Dorough";"Three Is The Magic Number"
"Refugee Camp All Stars";"Avenues"
"Annie Ross";"It Don't Mean A Thing"
"An-2";"Lazy Sun"
"Patrice";"Soulstorm"
"Radio Citizen Ft Bajka";"Summer Days"
"Yves Simon";"Au Pays Des Merveilles De Juliet"
"Ruff Driverz";"Savannah"
"Jim Murple Memorial";"Daydreams"
"Parov Stelar";"Your Fire (Feat. Luke)"
"Imany";"Pray For Help"
"Bedo Best & The Super Lounge Orchestra";"Come As You Are"
"Absynthe Minded";"If You Don't Go, I Don't Go"
"Mai Lan";"Easy"
"Jean Knight";"Mr. Big Stuff"
"V. V. Brown";"Bottles"
"Hindi Zahra";"Imik Si Mik"
"Lorde";"Royals"
"M";"A Tes Souhaits"
"Alela Diane";"Pirate's Gospel (At One Shot Not)"
"Akhenaton";"Le Calme Comme Essence"
"Terence Trent D'arby";"Delicate"
"Nosfell";"Mindala Jinka"
"The Quantic Soul Orchestra";"That Goose On My Grave"
"Broken Bells";"The Ghost Inside"
"Modonut";"Not Afraid Part 2 (Feat. Jessica Fitoussi)"
"Lonely Drifter Karen";"The Owl Moans Low"
"The Commodores";"Machine Gun"
"The Beatles";"Revolution"
"Jacques Brel";"Ne Me Quitte Pas"
"Portishead";"Roads"
"Selah Sue";"Summertime"
"Alice Russell";"I'm Just Here"
"Stereoclip";"Tramway (Stereoclip Sunshine Edit)"
"Ibeyi";"When Will I Learn (Feat. Chilly Gonzales)"
"Uli Fiedler";"Trio Frizzante"
"Sly & The Family Stone";"Small Talk"
"Caravan Palace";"12 Juin 3049"
"Luce";"Dans Ma Maman"
"David Bowie";"Space Oddity"
"Sam Smith";"Not In That Way"
"Speech Debelle";"Wheels In Motion (Feat. Roots Manuva)"
"Philippe Katerine";"Musique D'ordinateur"
