"artist";"title"
"Marek Hemman";"Tagoma"
"Griz";"Mr B (Ft. Dominic Lalli)"
"Delicieuse Musique";"Moi Je-Profite"
"Red Hot Chili Peppers";"Californication"
"Rootsneg";"Le Biz"
"Taj Mahal";"Leaving Trunk"
"Lenine";"Rosebud (O Verbo E A Verba)"
"Margo Thunder";"Expressway To Your Heart"
"Muse";"Feeling Good"
"Wyclef Jean Ft. Mary J. Blige";"911"
"Mayra Andrade";"Menha Ki Ben Ki Ta Bai"
"The Rolling Stones";"Hey Negrita"
"Cocoon";"American Boy"
"Black Pumas";"Colors"
"Phoenix";"If I Ever Feel Better"
"Morcheeba";"Aqualung"
"Angelique Kidjo";"Summertime"
"Lost Fingers";"Tainted Love"
"The Do";"On My Shoulder"
"Caravan Palace";"Star Scat"
"Sam Smith";"I'm Not The Only One"
"Christina Aguilera";"Beautiful"
"Troublemakers";"Groover Is Back"
"Erik Satie";"Premiere Gymnopedie"
"Yael Naim";"Toxic (Cover Studio Version)"
"Sparks";"01"
"Marckus & Rue D'alex";"Need To Know (Original Mix)"
"Viken Arman";"Addiction (Original Mix)"
"Caravan Palace";"Dragons"
"Chinese Man";"Racing With The Sun (Remix By Iration Steppas)"
"Fatboy Slim";"Give The Po'man A Break"
"Alabama 3";"The Night We Nearly Got Busted"
"Dutty Moonshine Feat. Mr B The Gentleman Rhymer";"Fancy Of Tipple"
"J Sasz";"All I Want"
"C2c";"Down The Road"
"Tapesh & Dayne S";"So Far"
"Delicieuse Musique";"The Song"
"Quantic";"Blackstone Rock"
"The Chemical Brothers";"Hey Boy Hey Girl"
