"artist";"title"
"Oswald";"Extazy (Voice Over Intro)"
"Tm Juke";"Playground Games (Feat. Alice Russel)"
"Chinese Man";"Jungle Boogie"
"David Byrne, Fatboy Slim, Tori Amos";"Why Don't You Love Me- (Feat. Tori Amos & Cyndi Lauper)"
"Applause";"Black Sand"
"Fat Freddy's Drop";"Cay's Crays"
"Mukta";"Gange-Jah Dance"
"The Cinematic Orchestra";"Theme De Yoyo"
"Albin De La Simone";"Avril 4000"
"Arthur Le Forestier";"Belle ( Live Radio Capferret 2010 )"
"Day One";"Last Day"
"Deluxe";"Family Show"
"Marc Moulin";"Welcome To The Club"
"De-Phazz";"Preachin To The Choir"
"Lauryn Hill";"Final Hour"
"No Jazz";"El Negro Zumbon (Anna)"
"Waldeck";"Midsummer Night Blues"
"Club Des Belugas";"Kinda Small Talk"
"C2c";"Give Up The Ghost (Vintage Edit) (Feat. Jay-Jay Johanson)"
"The Big Knife";"Projection Orange"
"The Peter Malik Group Feat. Norah Jones";"New York City (Dj Strobe Brooklyn Vibe Mix)"
"Destinee";"Trop Dur"
"Radio Citizen Feat Bajka";"The Hope"
"Gramatik";"A Bright Day"
"Ashley Thomas";"The Same Love That Me Laugh"
"M & Ayo";"La Fleur (Live Rcf 2010)"
"Jazz Liberatorz";"Clin D'oeil"
"Tone Atlas";"Stranger Things (Prod By Elemnt)"
"Fujiya & Miyagi";"Collarbone"
"Je Me Suis Fait Tout Petit";"Natalia Doco"
"Dafuniks";"Ease My Mind (Feat. Joseph Agami & Barbara Aersoe)"
"Dub Princess & Sneaky Dread";"Real Eyes"
"Bob Dylan";"Isis"
"Odetta";"Hit Or Miss"
"Tumi The Volume";"Reality Check"
"King Charles";"Love Lust"
"Tryo";"Monsieur Bibendum"
"Boozoo Bajou";"Yoruba Road"
"Alice Francis";"Sista"
"Gabin";"Doo Uap, Doo Uap, Doo Uap"
"Papooz";"Trampoline"
"Barcella";"Mixtape"
"Devo";"Satisfaction"
"Lauryn Hill";"Nappy Heads (Remix)"
"Pogo";"Wave"
"Big Soul";"Le Brio"
"Kid Bombardos";"I Round The Bend [Tahity Aco"
"Philippe Katerine";"Inutile"
"Cypress Hill";"Hits From The Bong"
"Ian Pooley";"Venasque"
"Club Des Belugas";"Peanut Vendor (Club Des Belugas Remix) (Feat. Anita O'day)"
"Le Peuple De L'herbe";"Supabreakin'"
"G. Love & Special Sauce";"Rodeo Clowns"
"The Souljazz Orchestra";"Little Habana"
"Lou Reed";"Walk On The Wild Side"
"Big Bad Voodoo Daddy";"Jumpin' Jive"
"Jain";"Come"
"Kormac";"Rainstorm"
"Squirrel Nut Zippers";"Indian Giver"
"Aretha Franklin";"I Say A Little Prayer For You"
"Roy Paci & Aretuska";"Ciuri Ciuri"
"Alice Russell";"High Up On The Hook"
"Bathysphere";"Where's Vicky (Quantic Mix)"
"Christian Zimmermann";"Diary Of A Lost Girl"
"Noze";"When Tiger Smoked (Arnaud Edit)"
"Quantic";"Archipelago"
"Spleen";"Bitches On The Ground"
"Bobby Mcferrin";"Good Lovin'"
"Maceo Plex";"Cravy Train (Nicolas Jaar Remix)"
"Sofa Surfers";"Sofa Rockers"
"Irma";"Save Me"
"Framix";"The Mistake"
"Da";"Chapi Chapo"
"Brigitte";"La Vengeance D'une Louve"
"Deluxe";"Extra Mile"
"Calle 13";"La Vuelta Al Mundo"
"Think Twice";"Supernova (Feat Coates)"
"Steevie Wonder";"Sir Duke"
"Trolle Siebenhaar";"Sweet Dogs"
"Lhasa";"Los Peces"
"Tom Fire";"The Revenge"
"Rosemary Clooney";"Come On A My House"
"Asa";"Jailer"
"Roos Jonker";"Still There"
"Mahalia Jackson";"Joshua Fit The Battle Of Jerocho"
"Feist";"Gatekeeper"
"Sashird Lao";"Keep Me Warm"
"Benny Goodman";"Sing, Sing, Sing"
"Fredda";"Le Murmure Des Champs"
"Patrice";"Party"
"M";"La Fleur"
"Antonin B";"Ma Vallee (Live Rcf 2016)"
"Lauryn Hill";"Zealots"
"Philippe Katerine";"Poulet N° 728120"
"The Beatles";"Eleanor Rigby"
"Veronique Sanson";"Alia Souza"
"Tom Poisson";"Nos Amours Englouties"
"Boulevard Des Airs";"Cielo Ciego (Acoustic Session)"
"Fugu";"Blackwall"
"Club Des Belugas";"Hot Vibes"
"Kenneth Bager";"Fragment Three (Walther & Viol"
"Cypress Hill";"I Wanna Get Hight"
"Lone Feat. Bustaflex";"Hysterique"
"Zoufris Maracas";"Les Femmes Simulent"
"The Jackson 5";"Dancing Machine"
"America";"A Horse With No Name"
"Cocoon";"I Cant Wait"
"No Doubt";"Rock Steady (Intro)"
"Thomas Fersen";"Bijou"
"Dog Almond";"Summertime Love"
"Lee 'Scratch' Perry";"In These Times"
"Gramatik";"New Generation"
"Yves Jamait";"Y En A Qui"
"C. R. Avery";"Hell Of A Hotel Of Harm"
"Money";"Pink Floyd"
"Boozoo Bajou";"Rainy Night In Georgia"
"Mogwai";"Punk Rock"
"Fat Freddy's Drop";"Ernie"
"Birdy";"I'll Never Forget You"
"Nightmares On Wax";"Pipes Honour"
"Jacques Loussier";"Pulsion"
"The Avalanches";"Since I Left You (Cuetec Remix)"
"Applause";"In And Out"
"Ben Harper";"Power Of The Gospel"
"Andrew Bird";"Lazy Projector"
"Matthew Herbert";"Leipzig"
"Freddie Cruger";"Running From Love (Feat. Adl)"
"The Beatles";"I'll Follow The Sun"
"William Sheller";"Un Homme Heureux"
