"artist";"title"
"Saian Supa Crew";"So Into You"
"Mayer Hawthorne";"Prelude"
"Gerry Mulligan & Dave Brubeck";"Take Five (Live)"
"Parov Stelar";"Tango Muerte"
"Booster";"You're The One (Feat. Juan Rozoff)"
"Ian Pooley";"Stonyridge Terrace"
"Pierre Lapointe";"Nous N'irons Pas"
"Paris Combo";"Living"
"Oxmo Puccino";"Le Laid"
"The Do";"Gonna Be Sick"
"Fergie";"Velvet"
"Vanessa Paradis";"Divine Idylle"
"Gramatik";"Hit That Jive"
"Jamiroquai";"Love Foolosophy"
"King Charles";"Bam Bam"
"The Souljazz Orchestra";"Freedom No Go Die"
"Senor Coconut";"Sweet Dreams"
"Barcella";"Salope"
"Clutch Player Feat. Sean Pri..";"King Of Kings"
"Hindi Zahra";"Stand Up"
"Delicieuse Musique";"Over Your Shoulder"
"Fugees";"Zealots"
"Melissa Laveaux";"Needle In The Hay"
"Zoufris Maracas";"Je Ne Veux De L'amour"
"David Byrne, Fatboy Slim, Candie Payne & St. Vincent";"Every Drop Of Rain (Feat. Candie Payne & St. Vincent)"
"Roy Paci & Aretuska";"What You See Is What You Get"
"Philippe Cohen Solal Feat. Melonie Cannon";"Dancing Queen"
"The Kinks";"Sunny Afternoon"
"St Germain";"Land Of..."
"The Lost Fingers";"You Shook Me All Night Long (Ac Dc)"
"The Cat Empire";"In My Pocket"
"Smooth";"Les Reflets"
"Barcella";"Puzzle"
"Quincy Jones";"I Heard That"
"Kormac";"Saturday Morning Tv (Feat Koaste)"
"Metropolitan Jazz Affair";"Yunowhathislifeez"
"Aloe Blacc";"Miss Fortune"
"Finley Quaye";"Sunday Shining"
"Red Hot Chili Peppers";"My Friends"
"Oxmo Puccino";"365 Jours"
"John Dummer's Band";"Nine By Nine"
"Manu Chao";"Bongo Bong"
"Zazie";"J'envoie Valser"
"Skunk Anansie";"Pickin' On Me"
"General Elektriks";"Frost On Your Sunglasses"
"Louise Attak";"Ton Invitation"
"Da";"Nicky Larson"
"The Velvet Underground";"Sunday Morning"
"M";"Qui De Nous Deux"
"Shurik'n";"Samurai"
"Java";"Le Poil"
"Cornershop";"Brimful Of Asha"
"Calexico";"Gypsy's Curse"
"The Souljazz Orchestra";"Molotov Cocktail"
"Gil Scot-Heron";"The Bottle"
"Charlie Winston";"Kick The Bucket"
"Jim Murple Memorial";"Song For Tommy And Rolland"
"Hjaltalin";"Stay By You"
"Delicieuse Musique";"Unknown"
