"artist";"title"
"Nirvana";"Lake Of Fire"
"Paris Combo";"Moi, Mon Bme Et Ma Conscience"
"Gush";"Let's Burn Again"
"Cornershop";"Norwegian Wood"
"Eminem";"I'm Back"
"Larry Gold Presents Don Cello & Friends";"Travelin'"
"Portishead";"All Mine"
"Au P'tit Bonheur";"J'veux Du Soleil"
"Jamiroquai";"Little"
"Lakrass & Mrk";"Toys And Bigband"
"Bobby Womack";"Communication"
"Caravan Palace";"Maniac"
"The Gribz";"Super Daddy Et Save The World (Live Au44 2013)"
"Doctor Rockit";"Cafe De Flore"
"General Elektriks";"Take Back The Instant"
"Chaka Demus Pliers";"Tease Me"
"De-Phazz";"Cup Of Hope"
"Skatalites";"Skalloween"
"Alabama 3";"Terra Firma Cowboy Blues"
"Naomi Shelton & The Gospel Queens";"What Have You Done"
"Lauryn Hill";"Every Ghetto, Every City"
"Ac Dc";"Come And Get It"
"Zenzile";"Mind Over Matter"
"Pete Yorn & Scarlett Johansson";"Relator"
"Deluxe";"Bleed On"
"F.f.f.";"Le Muscle Magique"
"Janis Joplin";"Summertime (Live At Woodstock)"
"Alain Bashung";"Volutes"
"The Lost Fingers";"Pump Up The Jam"
"Paul Anka";"Smells Like Teen Spirit"
"Samarabalouf";"Zarbie Pas Touche La Mouche"
"Lyrics Born";"I Changed My Mind (Stereo Mc's Rattlesnake Mix)"
"The Doors";"Break On Through"
"Nirvana";"Come As You Are"
"Chinese Man";"What You Need (Feat. Vinnie Dewayne, Myke Bogan, Tre Redeau)"
"V-A";"Serietv"
"Ashford & Simpson & Brandy & Chaka Khan & Charlie Wilson & Quincy Jones & Ray Charles";"Stuff Like That"
"Concrete Knives";"Brand New Start"
"The Plugs";"White Light (Daniels Edit)"
"Vanessa Paradis";"Love Song"
"The Souljazz Orchestra";"Negus Negast"
"Rjd2";"To All Of You"
"Paris Combo";"Si J'avais Ete"
"Beat Assailant";"Rhyme Space Interlude"
"Lou Reed";"Wild Side (Holtoug Bootleg)"
"Breton";"Counter Balance"
"Baxter Dury";"Cocaine Man"
"Deluxe";"Polishing Peanuts"
"Push Up";"What Goes Through Your Eyes"
"Daft Punk";"Lose Yourself To Dance (Feat. Pharrell Williams)"
